Sample age years,Pollen accum Rate cm-2 yr-1
9496.183242,384.0245776
9493.13101,768.0491551
9479.367193,614.4393241
9451.846606,768.0491551
9437.320612,768.0491551
9424.338938,1766.513057
9388.433227,3533.026114
9344.855245,3533.026114
9302.048836,3993.855607
9292.896837,5453.149002
9279.905767,5837.173579
9270.750245,7066.052227
9261.588852,7910.906298
9252.426284,8678.955453
9244.027067,9370.199693
9231.80757,10215.05376
9222.612119,8832.565284
9204.274064,9523.809524
9151.576967,13133.64055
9181.411097,14285.71429
9128.822043,24961.59754
9058.476256,24347.15822
9089.89346,29032.25806
9039.628518,41705.06912
8999.207289,48156.68203
9009.177835,50230.41475
9066.517285,50230.41475
9027.574609,53379.41628
