X,Y,X,Y,X,Y,X,Y
499.6500173,0.948184392,502.1628675,0.997442769,1.902696974,0.06007949,2.427211657,0.064859327
250.6559385,0.91556267,249.6129656,0.960334928,3.879941834,2.062112949,4.946166451,0.131345581
125.6559016,0.720893384,125.1225692,0.746475799,7.75683965,4.062297809,9.892225042,0.196082196
62.15141186,0.447320395,62.70163449,0.466518322,15.81759317,7.35465385,19.78423436,0.260818811
31.28225369,0.171631369,31.28370949,0.182292393,31.00302079,12.57879656,38.11297699,0.377567399
15.55514908,0.11554731,15.61694605,0.023866546,63.22074348,22.9679268,62.5981653,1.031518625
,,,,125.1472191,43.67686477,125.1472191,3.031703485
,,,,252.6846129,97.93603845,252.6846129,3.742490064
,,,,500.1962151,127.0320732,548.1031971,4.328727734
,,,,1009.94563,147.0976985,1009.94563,5.807375913
,,,,1999.215448,141.3550236,2179.764259,8.434545486
